Звено,ID фермента,Имя фермента в KEGG
1,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
1,K01028,3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
1,K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
2,K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
2,K01715,3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
2,K01692,enoyl-CoA hydratase [EC:4.2.1.17]
2,K10783,trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44]
3,K00248,butyryl-CoA dehydrogenase [EC:1.3.8.1];butyryl-CoA dehydrogenase [EC:1.3.99.2]
4,K01034,acetate CoA-transferase alpha subunit [EC:2.8.3.8]
4,K01035,acetate CoA-transferase beta subunit [EC:2.8.3.8]
4,K01896,medium-chain acyl-CoA synthetase [EC:6.2.1.2]
5,K01692,enoyl-CoA hydratase [EC:4.2.1.17]
5,K13767,enoyl-CoA hydratase [EC:4.2.1.17]
5,K01825,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
5,K01782,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
6,K00929,butyrate kinase [EC:2.7.2.7]
7,K00634,phosphate butyryltransferase [EC:2.3.1.19]

